#{"t_start": 1786032094.7954583, "env_id": "rendezvous-v1"}
r,l,t
-18907.798815,12,1.367128
-21606.549359,9,1.373135
-13458.560276,17,1.600242
-18336.467945,12,1.607748
-23483.571444,7,1.612757
-18081.015011,13,1.819032
-18140.500436,13,1.827537
-23271.753459,7,1.832543
-20547.545248,10,2.02588
-16210.099373,15,2.035392
-20245.281708,11,2.224126
-20084.493674,11,2.230633
-20118.599274,11,2.238139
-16871.380126,14,2.41394
-22314.926263,8,2.419453
-20943.725428,10,2.425453
-23592.993212,7,2.607175
-16853.379553,14,2.616181
-22395.463323,8,2.620288
-21414.013152,9,2.808484
-2790.576965,30,3.0317
-10962.556834,22,3.045207
-22308.650543,8,3.239814
-19692.809369,11,3.245816
-18498.806068,13,3.44113
-21597.289719,9,3.447129
-19472.059825,11,3.455637
-23273.093954,7,3.459141
-18173.514861,13,3.649153
-21011.548689,10,3.655156
-18574.663583,13,3.850024
-21209.616746,10,3.856026
-17701.337095,13,3.864536
-21674.033408,9,4.033805
-13830.691378,18,4.045316
-20799.678851,10,4.239294
-23345.700168,7,4.243294
-23476.881109,7,4.247798
-21127.464562,10,4.253804
-20079.986943,11,4.442478
-20540.357003,10,4.448498
-17583.409968,14,4.647561
-13299.370482,19,4.65964
-18759.242716,12,4.850101
-20843.457929,10,4.856101
-18979.386092,12,4.863609
-13086.742927,19,5.073293
-8922.47068,23,5.270601
-13170.939248,18,5.282109
-19568.584183,11,5.481584
-19023.333138,12,5.490604
-18273.86902,13,5.697788
-20380.932063,11,5.704793
-22786.2188,8,5.710302
-14202.454652,17,5.908604
-22418.610501,8,5.913609
-19261.610203,12,5.921667
-21727.166182,9,6.107496
-18453.639749,12,6.115001
-15725.276653,15,6.323461
-19737.620554,11,6.329965
-16342.904326,15,6.52381
-19949.74331,11,6.531882
-22255.945086,8,6.535882
-20406.822684,10,6.543391
-20741.295777,10,6.728138
-18335.631102,13,6.736144
-20493.87723,10,6.930502
-12773.919129,19,6.942009
-14327.735146,17,7.148311
-21894.109489,9,7.153316
-21214.475731,10,7.159822
-22530.044153,8,7.383655
-8430.424266,25,7.571874
-18879.215822,12,7.579907
-23208.984289,7,7.584907
-15179.929158,16,7.774316
-20308.153267,11,7.780907
-18298.843349,13,7.790087
-19486.46162,12,7.974973
-22347.71335,8,7.979476
-9817.776761,23,8.167776
-22222.445047,9,8.173288
-18835.23142,12,8.34934
-14557.232224,17,8.359851
-22065.406364,9,8.365851
-18698.735357,12,8.549382
-20457.493422,11,8.556388
-21937.631775,9,8.730367
-18336.394531,12,8.737873
-20000.276583,11,8.744876
-20176.058784,11,8.945079
-21838.613456,9,8.950586
-16636.77406,14,8.959605
-20986.843214,10,9.149114
-21348.483648,10,9.155116
-16368.95281,15,9.344954
-23696.915442,7,9.349458
-14211.190957,17,9.359967
-20702.684371,10,9.551647
-15390.083044,16,9.56115
-20365.048196,11,9.76214
-20311.62509,11,9.768645
-20220.912248,11,9.775651
-12119.844548,21,9.966255
-22777.368105,8,9.971762
-20728.007647,10,10.149615
-19195.17897,12,10.156617
-18252.220319,13,10.346421
-22958.510305,8,10.350934
-19116.068975,12,10.358961
-15901.732684,16,10.562786
-20797.37969,10,10.56829
-19102.51435,12,10.576297
-16610.716309,14,10.759644
-2460.253106,30,10.957184
-21952.259645,9,10.963286
-21257.295399,9,11.166728
-16240.781385,15,11.175241
-16469.960877,14,11.183753
-14180.883209,17,11.39096
-16621.959901,15,11.587019
-13746.444413,19,11.600037
-22575.862268,8,11.604543
-17710.899526,14,11.79025
-18935.726461,12,11.797253
-21422.938044,10,12.010013
-20990.865351,10,12.016017
-21751.99241,9,12.022077
-20501.33231,10,12.216533
-17170.35677,14,12.22604
-16691.19639,15,12.420473
-14012.870912,18,12.431983
-20055.80044,11,12.637
-21300.187823,10,12.644158
-21028.589601,10,12.650322
-20681.358114,10,12.843972
-19207.776459,12,12.851479
-20464.230939,10,12.858989
-22131.7029,9,13.0571
-19403.047044,12,13.064607
-19349.876562,12,13.072113
-14793.971986,17,13.249072
-21575.165394,9,13.254076
-21098.611717,10,13.442377
-16257.48151,15,13.451611
-12385.337572,19,13.642629
-20959.102538,10,13.648133
-23200.587613,7,13.652138
-20976.52417,10,13.838322
-17726.00585,14,13.846332
-16566.468643,15,14.029777
-22116.182687,9,14.035781
-14845.922379,17,14.046288
-5446.814864,27,14.241123
-21002.705568,10,14.446963
-15203.89667,16,14.45647
-19582.862567,12,14.63515
-18406.645403,13,14.642662
-20123.756725,11,14.649171
-21625.88994,9,14.81333
-14967.982481,17,14.824627
-21155.55072,10,15.050546
-19245.493292,12,15.059591
-23120.111386,8,15.065101
-17109.888364,14,15.279664
-21947.612214,9,15.285668
-19215.066824,12,15.294133
-18496.750024,13,15.508534
